Mod:Item:MetaData, Localized Name
minecraft:wooden_axe, 木斧
minecraft:stone_sword, 石剑
minecraft:stone_shovel, 石锹
minecraft:stone_pickaxe, 石镐
minecraft:stone_axe, 石斧
minecraft:diamond_sword, 钻石剑
minecraft:diamond_shovel, 钻石锹
minecraft:diamond_pickaxe, 钻石镐
minecraft:diamond_axe, 钻石斧
minecraft:stick, 木棍
minecraft:bowl, 碗
minecraft:mushroom_stew, 蘑菇煲
minecraft:golden_sword, 金剑
minecraft:golden_shovel, 金锹
minecraft:golden_pickaxe, 金镐
minecraft:golden_axe, 金斧
minecraft:string, 线
minecraft:feather, 羽毛
minecraft:gunpowder, 火药
minecraft:wooden_hoe, 木锄
minecraft:stone_hoe, 石锄
minecraft:iron_hoe, 铁锄
minecraft:diamond_hoe, 钻石锄
minecraft:golden_hoe, 金锄
minecraft:wheat_seeds, 小麦种子
minecraft:wheat, 小麦
minecraft:bread, 面包
minecraft:leather_helmet, 皮革帽子
minecraft:leather_chestplate, 皮革外套
minecraft:leather_leggings, 皮革裤子
minecraft:leather_boots, 皮革靴子
minecraft:chainmail_helmet, 锁链头盔
minecraft:chainmail_chestplate, 锁链胸甲
minecraft:chainmail_leggings, 锁链护腿
minecraft:chainmail_boots, 锁链靴子
minecraft:iron_helmet, 铁头盔
minecraft:iron_chestplate, 铁胸甲
minecraft:iron_leggings, 铁护腿
minecraft:iron_boots, 铁靴子
minecraft:diamond_helmet, 钻石头盔
minecraft:diamond_chestplate, 钻石胸甲
minecraft:diamond_leggings, 钻石护腿
minecraft:diamond_boots, 钻石靴子
minecraft:golden_helmet, 金头盔
minecraft:golden_chestplate, 金胸甲
minecraft:golden_leggings, 金护腿
minecraft:golden_boots, 金靴子
minecraft:flint, 燧石
minecraft:porkchop, 生猪排
minecraft:cooked_porkchop, 熟猪排
minecraft:painting, 画
minecraft:golden_apple:0, 金苹果
minecraft:golden_apple:1, 金苹果
minecraft:sign, 告示牌
minecraft:wooden_door, 木门
minecraft:bucket, 桶
minecraft:water_bucket, 水桶
minecraft:lava_bucket, 岩浆桶
minecraft:minecart, 矿车
minecraft:saddle, 鞍
minecraft:iron_door, 铁门
minecraft:redstone, 红石
minecraft:snowball, 雪球
minecraft:boat, 船
minecraft:leather, 皮革
minecraft:milk_bucket, 牛奶桶
minecraft:brick, 红砖
minecraft:clay_ball, 粘土
minecraft:reeds, 甘蔗
minecraft:paper, 纸
minecraft:book, 书
minecraft:slime_ball, 粘液球
minecraft:chest_minecart, 运输矿车
minecraft:furnace_minecart, 动力矿车
minecraft:egg, 鸡蛋
minecraft:compass, 指南针
minecraft:fishing_rod, 钓鱼竿
minecraft:clock, 钟
minecraft:glowstone_dust, 萤石粉
minecraft:fish:0, 生鱼
minecraft:fish:1, 生鲑鱼
minecraft:fish:2, 小丑鱼
minecraft:fish:3, 河豚
minecraft:cooked_fished:0, 熟鱼
minecraft:cooked_fished:1, 熟鲑鱼
minecraft:dye:0, 墨囊
minecraft:dye:1, 玫瑰红
minecraft:dye:2, 仙人掌绿
minecraft:dye:3, 可可豆
minecraft:dye:4, 青金石
minecraft:dye:5, 紫色染料
minecraft:dye:6, 青色染料
minecraft:dye:7, 淡灰色染料
minecraft:dye:8, 灰色染料
minecraft:dye:9, 粉红色染料
minecraft:dye:10, 黄绿色染料
minecraft:dye:11, 蒲公英黄
minecraft:dye:12, 淡蓝色染料
minecraft:dye:13, 品红色染料
minecraft:dye:14, 橙色染料
minecraft:dye:15, 骨粉
minecraft:bone, 骨头
minecraft:sugar, 糖
minecraft:cake, 蛋糕
minecraft:bed, 床
minecraft:repeater, 红石中继器
minecraft:cookie, 曲奇
minecraft:filled_map:0, 地图
minecraft:shears, 剪刀
minecraft:melon, 西瓜
minecraft:pumpkin_seeds, 南瓜种子
minecraft:melon_seeds, 西瓜种子
minecraft:beef, 生牛肉
minecraft:cooked_beef, 牛排
minecraft:chicken, 生鸡肉
minecraft:cooked_chicken, 熟鸡肉
minecraft:rotten_flesh, 腐肉
minecraft:ender_pearl, 末影珍珠
minecraft:blaze_rod, 烈焰棒
minecraft:ghast_tear, 恶魂之泪
minecraft:gold_nugget, 金粒
minecraft:nether_wart, 地狱疣
minecraft:potion:0, 水瓶
minecraft:potion:8193, 再生药水
minecraft:potion:8225, 再生药水
minecraft:potion:8257, 再生药水
minecraft:potion:16385, 喷溅型 再生药水
minecraft:potion:16417, 喷溅型 再生药水
minecraft:potion:16449, 喷溅型 再生药水
minecraft:potion:8194, 迅捷药水
minecraft:potion:8226, 迅捷药水
minecraft:potion:8258, 迅捷药水
minecraft:potion:16386, 喷溅型 迅捷药水
minecraft:potion:16418, 喷溅型 迅捷药水
minecraft:potion:16450, 喷溅型 迅捷药水
minecraft:potion:8227, 抗火药水
minecraft:potion:8259, 抗火药水
minecraft:potion:16419, 喷溅型 抗火药水
minecraft:potion:16451, 喷溅型 抗火药水
minecraft:potion:8196, 剧毒药水
minecraft:potion:8228, 剧毒药水
minecraft:potion:8260, 剧毒药水
minecraft:potion:16388, 喷溅型 剧毒药水
minecraft:potion:16420, 喷溅型 剧毒药水
minecraft:potion:16452, 喷溅型 剧毒药水
minecraft:potion:8261, 治疗药水
minecraft:potion:8229, 治疗药水
minecraft:potion:16453, 喷溅型 治疗药水
minecraft:potion:16421, 喷溅型 治疗药水
minecraft:potion:8230, 夜视药水
minecraft:potion:8262, 夜视药水
minecraft:potion:16422, 喷溅型 夜视药水
minecraft:potion:16454, 喷溅型 夜视药水
minecraft:potion:8232, 虚弱药水
minecraft:potion:8264, 虚弱药水
minecraft:potion:16424, 喷溅型 虚弱药水
minecraft:potion:16456, 喷溅型 虚弱药水
minecraft:potion:8201, 力量药水
minecraft:potion:8233, 力量药水
minecraft:potion:8265, 力量药水
minecraft:potion:16393, 喷溅型 力量药水
minecraft:potion:16425, 喷溅型 力量药水
minecraft:potion:16457, 喷溅型 力量药水
minecraft:potion:8234, 迟缓药水
minecraft:potion:8266, 迟缓药水
minecraft:potion:16426, 喷溅型 迟缓药水
minecraft:potion:16458, 喷溅型 迟缓药水
minecraft:potion:8268, 伤害药水
minecraft:potion:8236, 伤害药水
minecraft:potion:16460, 喷溅型 伤害药水
minecraft:potion:16428, 喷溅型 伤害药水
minecraft:potion:8237, 水肺药水
minecraft:potion:8269, 水肺药水
minecraft:potion:16429, 喷溅型 水肺药水
minecraft:potion:16461, 喷溅型 水肺药水
minecraft:potion:8238, 隐身药水
minecraft:potion:8270, 隐身药水
minecraft:potion:16430, 喷溅型 隐身药水
minecraft:potion:16462, 喷溅型 隐身药水
minecraft:glass_bottle, 玻璃瓶
minecraft:spider_eye, 蜘蛛眼
minecraft:fermented_spider_eye, 发酵蛛眼
minecraft:blaze_powder, 烈焰粉
